stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
43.019489,0,2241,-81.2165,,,,,Huron & Highbury Ave NS EB - #2241,0,340,
42.997275,0,2125,-81.299525,,,,,Wonderland & Sarnia Rd FS NB - #2125,0,342,
42.926036,0,672,-81.215134,,,,,Exeter & Wellington Rd EB - #672,0,349,
42.994791,0,1790,-81.1617,,,,,Trafalgar & Bancroft Rd WB - #1790,0,2318,
42.992012,0,1791,-81.171074,,,,,Trafalgar & Clarke Rd EB - #1791,0,2319,
42.990542,0,1788,-81.1767,,,,,Trafalgar & Atkinson WB - #1788,0,2316,
42.989742,0,1789,-81.179139,,,,,Trafalgar & Balfour Place EB - #1789,0,2317,
42.96964,0,1786,-81.212344,,,,,Thompson & King Edward Ave EB - #1786,0,2312,
42.969612,0,1787,-81.213279,,,,,Thompson & King Edward Ave WB - #1787,0,2313,
42.969463,0,1784,-81.214921,,,,,Thompson & Gladstone Ave WB - #1784,0,2310,
42.963296,0,760,-81.284909,,,,,Gardenwood & Berkshire Dr SB - #760,0,299,
42.994128,0,743,-81.203191,,,,,Florence & Highbury Ave WB - #743,0,296,
42.987914,0,2166,-81.22394,,,,,York & Rectory St WB - #2166,0,297,
42.993134,0,418,-81.170342,,,,,Clarke & Trafalgar NS SB - #418,0,294,
42.99049,0,829,-81.195112,,,,,Hale & Brydges St. NB - #829,0,295,
42.990805,0,830,-81.195321,,,,,Hale & Brydges St. SB - #830,0,291,
43.025446,0,1140,-81.281591,,,,,Masonville Mall & Stop # 1 - #1140,0,1996_merged_921643,
42.984805,0,1431,-81.287837,,,,,Proudfoot & Oxford St SB - #1431,0,274,
42.992891,0,1435,-81.219093,,,,,Quebec & Dundas St NB - #1435,0,276,
43.002589,0,1217,-81.214663,,,,,Mornington & Salisbury St EB - #1217,0,277,
43.002796,0,1218,-81.215322,,,,,Mornington & Salisbury St WB - #1218,0,278,
42.9924,0,595,-81.219503,,,,,Dundas & Quebec WB - #595,0,279,
42.956452,0,1971,-81.229685,,,,,Wellington & Waterman Ave NB - #1971,0,738,
42.964565,0,1728,-81.290752,,,,,Springbank & Berkshire Dr FS 1 EB - #1728,0,2268,
42.966105,0,1729,-81.28766,,,,,Springbank & Berkshire Dr FS 2 EB - #1729,0,2269,
42.998875,0,1722,-81.144742,,,,,Sovereign & Trafalgar St. SB - #1722,0,2262,
43.046634,0,1723,-81.24536,,,,,South Wenige & Father Dalton Ave WB - #1723,0,2263,
42.991413,0,1719,-81.140522,,,,,Sovereign & Neptune Cres NS 2 SB - #1719,0,2260,
42.994375,0,1720,-81.1422,,,,,Sovereign & Tartan SB - #1720,0,2261,
43.048447,0,1726,-81.243185,,,,,South Wenige & Savannah & Nicole WB - #1726,0,2266,
43.048287,0,1727,-81.25293,,,,,South Wenige & Sunningdale Rd NB - #1727,0,2267,
43.046064,0,1724,-81.251868,,,,,South Wenige & Marigold St NB - #1724,0,2264,
43.051188,0,1725,-81.243668,,,,,South Wenige & Savannah Dr SB - #1725,0,2265,
43.015448,0,1983,-81.276724,,,,,Western & Ambleside Dr NB - #1983,0,2442,
43.018039,0,1984,-81.278181,,,,,Western & Ambleside Dr SB - #1984,0,2443,
42.985598,0,1960,-81.245841,,,,,Wellington & Queens Ave SB - #1960,0,2440,
42.981302,0,865,-81.224568,,,,,Hamilton & Mamelon St EB - #865,0,1781,
43.010811,0,1988,-81.277338,,,,,Western & Elgin Dr NB - #1988,0,2447,
42.964112,0,1985,-81.224824,,,,,Westminster & Baseline Rd NB - #1985,0,2444,
42.964256,0,1986,-81.22495,,,,,Westminster & Baseline Rd SB - #1986,0,2445,
42.995638,0,1991,-81.267264,,,,,Western & Essex St NB - #1991,0,2448,
42.996215,0,1992,-81.27057,,,,,Western & Hollywood Cres NB - #1992,0,2449,
43.012631,0,1817,-81.273926,,,,,UWO-Perth Dr & UH SB - #1817,0,108,
42.962039,0,190,-81.226664,,,,,Base Line & Fairview Ave NS EB - #190,0,102,
42.971777,0,935,-81.238772,,,,,High & Grand Ave NB - #935,0,103,
42.961443,0,1859,-81.226937,,,,,Victoria Hospital & Baseline Rd Ent WB - #1859,0,101,
43.013585,0,1816,-81.274229,,,,,UWO-Perth Dr & UH NB - #1816,0,107,
42.995977,0,1494,-81.253301,,,,,Richmond & Oxford St  NB - #1494,0,104,
43.001527,0,1464,-81.256205,,,,,Richmond & Cheapside St NB - #1464,0,105,
43.016547,0,1273,-81.180449,,,,,Oxford & Clarke Rd FS 1 EB - #1273,0,2046,
43.01769,0,1274,-81.176831,,,,,Oxford & Clarke Rd NS 1 WB - #1274,0,2047,
43.028653,0,1246,-81.193699,,,,,Oakville & Tilipe Rd NB - #1246,0,2044,
43.022426,0,2410,-81.159591,,,,,Oxford & Veterans Memorial Parkway EB - #2410,0,2045,
42.94715,0,1239,-81.269199,,,,,Notre Dame & Ensign Dr SB - #1239,0,2042,
43.029372,0,1244,-81.19657,,,,,Oakville & Chippewa Dr NB - #1244,0,2043,
42.990022,0,1238,-81.161463,,,,,Noel & Bow St EB - #1238,0,2040,
43.017621,0,1275,-81.176624,,,,,Oxford & Clarke Rd FS 2 EB - #1275,0,2048,
43.016714,0,2257,-81.180353,,,,,Oxford & Clarke Rd NS 3 WB - #2257,0,2049,
43.025452,0,1144,-81.281354,,,,,Masonville Terminal & Stop #5 - #1144,0,150_merged_921646,
43.046989,0,2435,-81.253405,,,,,Thistlewood & South Wenige EB - #2435,0,3513,
43.044845,0,2433,-81.249525,,,,,South Wenige & McCallum WB - #2433,0,3515,
43.050511,0,2434,-81.247662,,,,,Sunningdale & Gough EB - #2434,0,3514,
42.983509,0,408,-81.247159,,,,,Clarence & King St NB - #408,0,99,
42.962686,0,240,-81.285332,,,,,Berkshire & Gardenwood NB - #240,0,98,
42.959479,0,448,-81.331786,,,,,Commissioners & Boler WB - #448,0,91,
42.96345,0,1755,-81.293513,,,,,Springbank & Wonderland Rd WB - #1755,0,90,
42.951835,0,808,-81.340118,,,,,Griffith & Byron Baseline Rd FS 1 WB - #808,0,92,
42.953654,0,275,-81.331251,,,,,Boler & Byron Baseline NB - #275,0,95,
42.944079,0,810,-81.329386,,,,,Griffith & Boler Rd EB - #810,0,94,
42.96374,0,1754,-81.292535,,,,,Springbank & Wonderland Rd EB - #1754,0,97,
42.990376,0,1137,-81.164965,,,,,Marconi & Noel Ave. SB - #1137,0,1991,
42.959872,0,630,-81.256607,,,,,Edward & Baseline SB - #630,0,1622,
42.986971,0,1138,-81.152882,,,,,Marconi & Railton WB - #1138,0,1993,
